sent_id,text,distance,root_lemma,root_surface,root_idx,n_tokens,surprisal_small,surprisal_medium,surprisal_large
train-s3,手に持った特殊な刃物を使ったアクロバティックな体術や、揚羽と薄羽同様にクナイや忍具を使って攻撃してくる。,18,攻撃,攻撃,27,31,3.447265625,3.255859375,2.83984375
train-s4,"3年次にはトータルオフェンスで2,892ヤードを獲得し、これは大学記録となった。",8,成る,なっ,21,23,0.9677734375,19.671875,1.42578125
train-s7,そして、第40話でそのカオルと百子をも失い、完全に孤児になってゲンとともに美山家に身を寄せ、またゲンに連れ添って円盤生物を調査するパートナーとなる。,29,成る,なる,44,45,2.39453125,1.802734375,2.423828125
train-s9,一直線に伸びる電撃を放ち、電撃ダメージを与える。,5,与える,与える,12,13,1.0029296875,21.77734375,1.173828125
train-s14,医師の丁寧な診察や検査には安心感がもてましたね。,2,持つ,もて,13,17,5.577880859375,12.7899169921875,2.76171875
train-s15,"エンゲージメント系の事例で言えば,日本での再現性は低いという前提でいた方がイイのかなと思っています。",4,思う,思っ,29,33,4.02734375,22.328125,2.98828125
train-s17,高松に3店舗を展開する四国スイーツの専門店、ラ・ファミーユでは、バレンタインを前に、焼かないチョコレートケーキ「半熟ザッハトルテ」の発売を開始しました。,19,開始,開始,36,40,2.5546875,1.6474609375,1.94921875
train-s20,チーム名はアマチュア時代の「ロッテ・ジャイアンツ」の名をそのまま維持して、重光オーナーの故郷である釜山・慶尚南道地域をフランチャイズ保護地域として、釜山を本拠地とするプロ球団として転向した。,21,転向,転向,51,54,13.640625,11.7890625,14.453125
train-s29,山陽新幹線厚狭駅-新下関駅-小倉駅山陽本線長府駅-新下関駅-幡生駅*当駅を始発とする「みすゞ潮彩」は、当駅-下関駅間では幡生駅に停車しない。,10,停車,停車,46,49,1.197265625,0.5732421875,0.8583984375
train-s33,これに対して、民間の金融機関からは、金融サービスの拡充は本来の郵便貯金業務の枠を超えたものであること、ドイツテレコムからの赤字補てんは、民間との公正な競争を阻害していることなどが批判された。,21,批判,批判,55,59,1.513671875,2.87890625,2.0625
train-s34,研究に携わった山下孝之教授は「これまでのがん治療は細胞そのものの増殖を抑えるものだったが、悪性化を抑える新しい治療もできるかもしれない」と話している。,13,話す,話し,42,45,1.8251953125,1.52734375,2.1875
train-s35,ドルは主要通貨に対して弱含み、3年3カ月ぶりの高値水準で推移したほか、英ポンドが4月ぶり、豪ドルが2月ぶりの高値をつけた。,9,付ける,つけ,40,42,4.26171875,12.9609375,2.232421875
train-s37,6月19日に保釈金を支払い釈放、7月15日からイングランド艦隊の義勇兵となり、8月1日にノルウェーのベルゲン港でオランダ共和国との交戦を経験した。,21,経験,経験,42,45,5.984375,7.6171875,3.3984375
train-s38,手首・足に釘で貫かれた明らかな痕がある。,2,有る,ある,14,15,1.7451171875,2.234375,2.419921875
train-s40,国内最多の店舗数を誇る。,2,誇る,誇る,7,8,1.5068359375,0.2646484375,0.58447265625
train-s41,今月22日には、今回の現場からわずか260メートルほどの事務所から出火しており、警察によると、放火の可能性があるという。,4,言う,いう,36,37,0.79638671875,9.453125,3.787109375
train-s42,球界の話題を独占している次代のエースに対し、ダルビッシュは自身のルーキー時代を振り返りながら苦笑交じりに比較した。,18,比較,比較,27,30,12.5546875,10.96875,8.9609375
train-s43,人数、予算に合わせた飲み会がしやすいお店だと思います。,6,思う,思い,15,17,0.2919921875,11.9765625,4.5546875
train-s45,ごく少数の女性歌手もいるが、たいていは男性が歌う。,2,歌う,歌う,14,15,1.74609375,1.8486328125,2.50390625
train-s46,また、多くの政界の人物と人脈を形成した。,2,形成,形成,11,14,6.421875,4.84765625,7.23046875
train-s49,種類も多数追加され、中には魔力を高めるものや、他の種族では扱えない攻撃ができるものが存在する。,16,存在,存在,29,31,5.3828125,3.712890625,1.4501953125
train-s52,正面の扉だけでなく、四方の扉を開放し公開したのは今回が初めてだという。,10,言う,いう,24,25,4.41796875,11.328125,4.62890625
train-s53,ネイトたちはこの黄金都市を探す。,2,探す,探す,8,9,7.40234375,7.55859375,4.98828125
train-s56,この功績や武勇からスペインでは英雄扱いされ、王家からはガンディア公爵の地位を与えられた。,2,与える,与え,22,25,1.01171875,8.2421875,1.095703125
train-s64,英国政府の公的機関であるイングリッシュ・ネイチャーや、イングリッシュ・ヘリテッジらと協力して活動をすすめている。,2,勧める,すすめ,23,26,3.615234375,5.171875,4.4921875
train-s66,『スター・ウォーズ』のダース・ベイダー役のオーディションを受けたこともある。,2,受ける,受け,14,19,1.80078125,14.90625,2.2890625
train-s71,近年では『うたばん』のように、それを逆手に取り笑いのネタとして積極的に活用する番組も現れている。,15,現われる,現れ,29,32,3.869140625,4.0078125,2.919677734375
train-s72,こういう写真は結婚式以来でしたので、はじめはとても緊張しましたが、adamのその場をリラックスさせる雰囲気とトークのおかげで、最終的にはノリノリで撮影を行うことができました。,16,行う,行う,45,51,5.6875,5.80859375,6.1484375
train-s77,シリンダーによっては噴射から吸入までややタイムラグが発生する為、当然ながら燃焼制御も大雑把なものとなる。,13,成る,なる,27,28,1.1474609375,2.15234375,3.015625
train-s79,また、近代鉱物学の延長にある結晶学的手法も長足の進歩を遂げ、人工では合成出来ない結晶構造の物質を見いだすに至った。,13,至る,至っ,34,36,4.7578125,13.3125,3.7890625
train-s86,ニコラウス4世はこれを大いに歓迎してキリスト教徒の君主であるアルグンを称讃し、返書では「聖地エルサレムをキリスト教徒側に奪還してエルサレム王国の解放は遠からず容易に達成するであろう」とアルグンのエルサレム入城を進言している。,35,進言,進言,58,62,6.72265625,7.868587493896484,7.22119140625
train-s87,本会議場や特別委員会室で議論が進む傍らで、居眠りや私語、途中離席をする議員の姿がちらほら見受けられた。,16,見受ける,見受け,29,32,2.45263671875,2.7841796875,3.37109375
train-s88,R-12は1932年9月27日にニューロンドンを出航しペンシルベニア州フィラデルフィアに向かい、1932年12月7日に退役、他のR級潜水艦と共に予備役艦隊で保管された。,19,保管,保管,44,48,0.1763916015625,0.1650390625,0.08966064453125
train-s90,また、流行カラーのキャメル色のコートを羽織り、スモッグ効果と照明を利用した神秘的な背景の中でも、シックな魅力を発揮した。,19,発揮,発揮,34,37,5.44140625,9.59375,2.689453125
train-s93,9日夜から風邪の症状を訴え、10日からグラウンドには姿を見せておらず。,9,見せる,見せ,19,23,0.86474609375,16.171875,5.5625
train-s98,また大学野球では札幌学生野球連盟のうち二部・三部のリーグ戦が行われている。,2,行う,行わ,21,25,9.578125,15.484375,2.970703125
train-s99,毎回70人前後を集めるコンサートも本部の新しい魅力の一つに育ちつつある。,12,育つ,育ち,17,20,9.5625,5.71875,5.44140625
train-s100,『三十五人の小学生』などの作品を収録している。,2,収録,収録,13,17,7.2109375,4.70703125,6.91015625
train-s105,敗者復活トーナメントで韓国に大勝し、最後の1枠を賭けたカナダ戦に挑んだが、第1Qで10点差付けられ、第2Q以降巻き返すも及ばず、2大会連続でオリンピック出場を逃した。,22,逃す,逃し,50,52,1.068359375,0.947509765625,2.72265625
train-s112,早速、宮脇駅長に抱かれて列車の出発にも立ち会い、前足を上げて発車合図を出し、列車を見送った。,9,見送る,見送っ,27,29,6.935546875,3.6953125,4.9921875
train-s113,表紙にはアニメーターとしても名を馳せていたイラストレーターのいのまたむつみが起用され、アニメ・ゲーム両方のファン層を取り込むことに一役買っている。,18,買う,買っ,36,39,0.68310546875,5.59375,1.58984375
train-s114,"このホメオパシー,今年2月22日にイギリス議会の“科学と技術委員会”が,科学的根拠がないことを理由に,“国民健康保険による財政支出をやめるべき”との報告書をまとめています。",17,纏める,まとめ,49,53,6.6953125,13.2578125,4.1328125
train-s115,"たとえば唇が腫れるのは胃の調子が悪い現れというように,内臓の不調と美容には密接な関係があります。",21,有る,あり,29,31,0.017425537109375,0.7626953125,1.560546875
train-s116,"離党の直接の引き金は沖縄県知事選ですが,入党当初からすれ違いがあったようです。",2,有る,あっ,19,23,2.79296875,2.919921875,4.71875
train-s118,"一人だけいた若い女性信者が手作りのミルクプリンと紅茶を出し,記者には海老澤代表が付いた。",13,付く,付い,24,26,10.546875,14.109375,11.3828125
train-s119,"また,以下のサイト等も,現在私とは一切関係なく,こちらが承認しているものではございません。",6,御座る,ござい,26,29,3.041067123413086,10.21484375,0.25146484375
train-s123,東西線・南北線の地下鉄路線を運営する。,2,運営,運営,11,13,6.48828125,8.46875,9.484375
train-s125,さらに、この件については海江田大臣を通じて、経済産業省が準備中であることを明らかにしました。,10,為る,し,27,30,0.90478515625,9.203125,2.208984375
train-s127,統一教会が組織的に行っている違法勧誘や霊感商法の一端が垣間見えた。,12,垣間見える,垣間見え,18,20,5.848571300506592,5.73828125,6.994140625
train-s130,一度キーを押すとその方向に走り続け、障害物があると止まる。,13,止まる,止まる,18,19,4.89306640625,3.564453125,2.0625
train-s131,それらの工事が完了し最上型4艦が艦隊にそろったのは計画より2年遅い昭和13年度になってからだった。,16,成る,なっ,28,33,5.125,19.53515625,4.984375
train-s132,ダム検証についても工程が示されていないとして、本年度分の負担金の支払いを留保するなど国との対立を深めていた。,16,深める,深め,35,39,1.9814453125,5.529296875,6.8125
train-s134,"今回のリーフレットではカルト対策として,しっかり“偽装サークル”の勧誘への啓発が含まれています。",2,含む,含ま,23,28,9.5546875,13.640625,8.3671875
train-s137,弓なりの緑地は、この町が丘陵地にあることを示している。,7,示す,示し,15,18,4.875,17.59375,3.8515625
train-s139,全米アルバムチャートにて初登場87位を記録した。,2,記録,記録,10,13,2.0078125,5.61328125,1.955078125
train-s141,だが、バンドのピークともいえる傑作『COCK AND BULL TUNES』を発表後、人気絶頂のまま解散した。,6,解散,解散,25,28,3.78515625,2.22265625,3.646484375
train-s143,この時点では商品化について触れられていなかったが、2006年1月に発売計画が発表された。,2,発表,発表,26,30,0.931640625,1.4306640625,2.2421875
train-s144,今年はある事情により姿を見せなかったようだ。,2,見せる,見せ,9,14,11.46875,8.8125,1.5830078125
train-s149,一緒に学徒動員した同級生らに見せて17歳当時の思い出を語り合っている。,2,語り合う,語り合っ,19,22,7.376953125,5.912109375,5.865234375
train-s150,"Wikipediaによれば,風車や水車で発電し蓄電池に電気を蓄えて使うようである。",4,使う,使う,19,23,4.52734375,4.04296875,2.416015625
train-s151,この時はほかに6人の自民党議員が協力しています。,2,協力,協力,13,18,7.3359375,7.00390625,7.578125
train-s157,1946年2月16日最高顧問を辞し、1947年8月公職追放を受ける。,6,受ける,受ける,19,20,3.658203125,16.78125,3.009765625
train-s158,"必ずしも企画書上にポンチ画が書いてある必要はないが,画で考えるのはマストだと思う。",14,思う,思う,26,27,1.40625,9.53125,3.669921875
